             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          2.00000000          1.00000000         20.00000000          0.05000000      20000.00000000          0.00005000          0.00057533         -1.00000000
          2.00000000          2.00000000         20.00000000          0.05000000      20000.00000000          0.00005000          0.00057533         -1.00000000
          2.00000000          4.00000000         20.00000000          0.05000000      20000.00000000          0.00005000          0.00057533         -1.00000000
          2.00000000          6.00000000         20.00000000          0.05000000      20000.00000000          0.00005000          0.00057533         -1.00000000
          2.00000000          8.00000000         20.00000000          0.05000000      20000.00000000          0.00005000          0.00057533         -1.00000000
          3.00000000          1.00000000         20.00000000          0.05000000      20000.00000000          0.00005000          0.00057533         -1.00000000
          3.00000000          2.00000000         20.00000000          0.05000000      20000.00000000          0.00005000          0.00057533         -1.00000000
          3.00000000          4.00000000         20.00000000          0.05000000      20000.00000000          0.00005000          0.00057533         -1.00000000
          3.00000000          6.00000000         20.00000000          0.05000000      20000.00000000          0.00005000          0.00057533         -1.00000000
          3.00000000          8.00000000         20.00000000          0.05000000      20000.00000000          0.00005000          0.00057533         -1.00000000
          4.00000000         -1.00000000         20.00000000          0.05000000      20000.00000000          0.00005000          0.00093767         -1.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000      49999.00000000          0.00002000          0.00068410         -1.00000000
          2.00000000          1.00000000         20.00000000          0.05000000      49999.00000000          0.00002000          0.00068410         -1.00000000
          2.00000000          2.00000000         20.00000000          0.05000000      49999.00000000          0.00002000          0.00068410         -1.00000000
          2.00000000          4.00000000         20.00000000          0.05000000      49999.00000000          0.00002000          0.00068410         -1.00000000
          2.00000000          6.00000000         20.00000000          0.05000000      49999.00000000          0.00002000          0.00068410         -1.00000000
          2.00000000          8.00000000         20.00000000          0.05000000      49999.00000000          0.00002000          0.00068410         -1.00000000
          3.00000000          1.00000000         20.00000000          0.05000000      49999.00000000          0.00002000          0.00068410         -1.00000000
          3.00000000          2.00000000         20.00000000          0.05000000      49999.00000000          0.00002000          0.00068410         -1.00000000
          3.00000000          4.00000000         20.00000000          0.05000000      49999.00000000          0.00002000          0.00068410         -1.00000000
          3.00000000          6.00000000         20.00000000          0.05000000      49999.00000000          0.00002000          0.00068410         -1.00000000
